,Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
54,0.014,0.38799999999999996,8.0,2716.0,10142342770.0,0.037,10142342770.0,500.0,0.015,0.3,0.178,78.0,71.0,1.1,0.204,0.692,0.104,0.634,Asia,Armenia
55,0.019,0.4,8.0,12561.0,65951627200.0,0.05,65951627200.0,225.0,0.032,0.5,0.19,74.0,68.0,1.1,0.224,0.718,0.058,0.536,Asia,Azerbaijan
56,0.021,0.35,19.0,31294.0,111905616039.0,0.038,111905616039.0,302.0,0.037,0.1,0.133,71.0,69.0,0.6,0.311,0.642,0.047,0.312,Asia,Bangladesh
57,0.02,0.408,36.0,28002.0,1840841618.0,0.037,1840841618.0,274.0,0.033,0.2,0.14,68.0,67.0,0.7,0.291,0.663,0.046,0.356,Asia,Bhutan
58,0.016,0.168,101.0,3832.0,16691360399.0,0.022,16691360399.0,96.0,0.008,0.6,0.055,80.0,76.0,1.1,0.262,0.7,0.038,0.759,Asia,Brunei Darussalam
59,0.026,0.214,102.0,5333.0,12829541141.0,0.056,12829541141.0,173.0,0.036,0.0,0.11,74.0,68.0,0.9,0.314,0.634,0.051,0.2,Asia,Cambodia
60,0.012,0.635,38.0,2727728.0,7321891954613.0,0.051,7321891954613.0,358.0,0.013,0.4,0.066,76.0,74.0,0.7,0.18,0.735,0.085,0.506,Asia,China
61,0.014,0.165,2.0,3543.0,14434619972.0,0.094,14434619972.0,387.0,0.014,0.3,0.15,78.0,70.0,1.0,0.174,0.684,0.142,0.53,Asia,Georgia
62,0.014,0.23,3.0,14894.0,248514003083.0,0.044,248514003083.0,80.0,0.025500000000000002,0.7,0.05,87.0,80.0,2.2,0.119,0.749,0.132,1.0,Asia,"Hong Kong SAR, China"
63,0.021,0.629,29.0,749447.0,1880100141185.0,0.039,1880100141185.0,254.0,0.045,0.1,0.102,68.0,64.0,0.7,0.298,0.651,0.051,0.313,Asia,India
64,0.02,0.322,48.0,209009.0,845931645339.0,0.029,845931645339.0,266.0,0.026,0.1,0.124,72.0,68.0,1.0,0.296,0.653,0.051,0.507,Asia,Indonesia
65,0.008,0.484,22.0,461468.0,5905630870455.0,0.1,5905630870455.0,330.0,0.002,0.8,0.015,86.0,79.0,1.0,0.132,0.631,0.237,0.912,Asia,Japan
66,0.023,0.28600000000000003,19.0,78101.0,188048960311.0,0.039,188048960311.0,188.0,0.018,0.5,0.11,74.0,64.0,1.6,0.252,0.683,0.066,0.536,Asia,Kazakhstan
67,0.014,0.343,21.5,19037.0,52251166941.5,0.044,52251166941.5,256.0,0.024,0.2,0.11,73.0,66.0,0.0,0.223,0.687,0.09,0.603,Asia,"Korea, Dem. Rep."
68,0.009,0.287,6.0,260440.0,1202463655510.0,0.074,1202463655510.0,225.0,0.003,0.8,0.058,84.0,78.0,1.1,0.157,0.728,0.114,0.82,Asia,"Korea, Rep."
69,0.027,0.33399999999999996,10.0,3097.0,6197766119.0,0.062,6197766119.0,210.0,0.025,0.2,0.402,74.0,66.0,1.2,0.301,0.656,0.043,0.353,Asia,Kyrgyz Republic
70,0.028,0.319,93.0,28002.0,8254088067.0,0.028,8254088067.0,362.0,0.057,0.1,0.11,69.0,66.0,0.8,0.362,0.601,0.037,0.343,Asia,Lao PDR
71,0.01,0.343,21.5,28002.0,36634742799.0,0.044,36634742799.0,256.0,0.025500000000000002,0.6,0.053,82.0,78.0,2.5,0.124,0.802,0.074,1.0,Asia,"Macao SAR, China"
72,0.018,0.34,6.0,75907.0,289258937259.0,0.038,289258937259.0,133.0,0.007,0.6,0.049,77.0,72.0,1.3,0.272,0.678,0.05,0.717,Asia,Malaysia
73,0.022,0.09300000000000001,9.0,28002.0,2162990126.0,0.081,2162990126.0,256.0,0.01,0.3,0.102,78.0,76.0,1.6,0.294,0.655,0.05,0.412,Asia,Maldives
74,0.023,0.24600000000000002,13.0,3607.0,8761426371.0,0.06,8761426371.0,192.0,0.028,0.1,0.166,71.0,63.0,1.1,0.27,0.692,0.038,0.685,Asia,Mongolia
75,0.018,0.343,21.5,14056.0,52251166941.5,0.018,52251166941.5,256.0,0.042,0.0,0.163,67.0,63.0,0.0,0.257,0.692,0.051,0.319,Asia,Myanmar
76,0.022,0.315,29.0,10391.0,18850351853.0,0.061,18850351853.0,326.0,0.035,0.1,0.11,69.0,66.0,0.5,0.364,0.586,0.05,0.172,Asia,Nepal
77,0.026,0.34600000000000003,21.0,84845.0,213685918599.0,0.03,213685918599.0,560.0,0.072,0.1,0.144,67.0,65.0,0.6,0.349,0.608,0.043,0.37,Asia,Pakistan
78,0.025,0.445,36.0,40452.0,224095219329.0,0.044,224095219329.0,195.0,0.025,0.3,0.067,72.0,65.0,1.0,0.349,0.613,0.038,0.45,Asia,Philippines
79,0.01,0.271,3.0,33447.0,274065043106.0,0.042,274065043106.0,84.0,0.002,0.7,0.054,84.0,80.0,1.5,0.169,0.737,0.093,1.0,Asia,Singapore
80,0.018,1.129,37.0,10421.0,59178013928.0,0.033,59178013928.0,256.0,0.009,0.2,0.094,77.0,71.0,0.9,0.251,0.669,0.08,0.183,Asia,Sri Lanka
81,0.033,0.845,24.0,2395.0,6522732203.0,0.058,6522732203.0,224.0,0.043,0.1,0.248,71.0,64.0,0.8,0.358,0.61,0.032,0.265,Asia,Tajikistan
82,0.011,0.369,29.0,119147.0,345672232116.0,0.041,345672232116.0,264.0,0.012,0.2,0.069,77.0,71.0,1.2,0.189,0.72,0.091,0.454,Asia,Thailand
83,0.036,0.11,94.0,28002.0,1128300000.0,0.046,1128300000.0,276.0,0.05,0.0,0.11,68.0,65.0,0.6,0.469,0.5,0.032,0.302,Asia,Timor-Leste
84,0.022,0.343,21.5,24710.0,29233333333.0,0.021,29233333333.0,256.0,0.05,0.1,0.11,69.0,61.0,1.0,0.289,0.671,0.041,0.487,Asia,Turkmenistan
85,0.022,0.975,14.0,47755.0,45324319955.0,0.056,45324319955.0,205.0,0.039,0.3,0.11,71.0,65.0,0.9,0.293,0.664,0.043,0.362,Asia,Uzbekistan
86,0.016,0.4,38.0,61210.0,135539487317.0,0.068,135539487317.0,941.0,0.02,0.4,0.17,80.0,71.0,1.4,0.231,0.703,0.065,0.31,Asia,Vietnam
87,0.013,0.315,6.0,2173.0,12890867763.0,0.06,12890867763.0,371.0,0.014,0.5,0.124,80.0,74.0,1.0,0.221,0.676,0.103,0.532,Europe,Albania
88,0.011,0.3955,12.5,24024.0,163421733019.0,0.072,163421733019.0,208.5,0.002,0.8,0.084,82.0,77.0,0.8,0.153,0.677,0.158,0.873,Europe,Andorra
89,0.009,0.523,25.0,33019.0,415984217115.0,0.113,415984217115.0,170.0,0.003,0.8,0.084,84.0,78.0,1.5,0.146,0.673,0.181,0.659,Europe,Austria
90,0.012,0.623,10.0,29501.0,59734593905.0,0.049,59734593905.0,654.0,0.004,0.4,0.136,77.0,65.0,1.1,0.149,0.712,0.138,0.75,Europe,Belarus
91,0.012,0.57,4.0,59094.0,513317999900.0,0.105,513317999900.0,156.0,0.004,0.8,0.084,83.0,78.0,1.1,0.168,0.658,0.174,0.977,Europe,Belgium
92,0.009,0.237,40.0,7095.0,18252896439.0,0.099,18252896439.0,422.0,0.006,0.6,0.074,79.0,73.0,0.8,0.169,0.678,0.153,0.393,Europe,Bosnia and Herzegovina
93,0.01,0.272,18.0,19216.0,53542780661.0,0.073,53542780661.0,500.0,0.011,0.5,0.106,78.0,71.0,1.4,0.134,0.68,0.186,0.726,Europe,Bulgaria
94,0.01,0.21899999999999997,8.0,8439.0,61520901516.0,0.068,61520901516.0,196.0,0.004,0.6,0.097,80.0,74.0,1.2,0.151,0.671,0.177,0.578,Europe,Croatia
95,0.012,0.22,8.0,2368.0,24851264943.0,0.074,24851264943.0,149.0,0.003,0.6,0.084,82.0,77.0,1.0,0.174,0.708,0.118,0.674,Europe,Cyprus
96,0.01,0.48100000000000004,20.0,43429.0,216061200559.0,0.075,216061200559.0,557.0,0.003,0.7,0.057,81.0,75.0,1.2,0.143,0.699,0.158,0.732,Europe,Czech Republic
97,0.011,0.264,6.0,17997.0,333743578564.0,0.109,333743578564.0,135.0,0.003,0.9,0.084,82.0,78.0,1.3,0.178,0.651,0.171,0.87,Europe,Denmark
98,0.011,0.5760000000000001,7.0,5603.0,22542967739.0,0.058,22542967739.0,81.0,0.003,0.8,0.061,81.0,71.0,1.4,0.155,0.668,0.176,0.68,Europe,Estonia
99,0.012,0.3955,12.5,24024.0,163421733019.0,0.08299999999999999,163421733019.0,208.5,0.004,0.8,0.084,84.0,79.0,1.2,0.153,0.677,0.158,0.411,Europe,Faeroe Islands
100,0.011,0.39,14.0,34749.0,262379400238.0,0.09,262379400238.0,93.0,0.002,0.9,0.084,84.0,77.0,1.7,0.164,0.659,0.177,0.837,Europe,Finland
101,0.013,0.647,7.0,252827.0,2782210861683.0,0.116,2782210861683.0,132.0,0.004,0.8,0.084,86.0,79.0,0.9,0.183,0.646,0.171,0.786,Europe,France
102,0.008,0.456,15.0,311770.0,3628110015053.0,0.113,3628110015053.0,221.0,0.003,0.8,0.084,83.0,78.0,1.1,0.133,0.657,0.21,0.745,Europe,Germany
103,0.01,0.45899999999999996,11.0,26723.0,289886951188.0,0.09,289886951188.0,224.0,0.004,0.5,0.084,84.0,78.0,1.1,0.146,0.663,0.192,0.766,Europe,Greece
104,0.009,0.52,4.0,24964.0,137452115093.0,0.079,137452115093.0,277.0,0.006,0.7,0.083,79.0,71.0,1.2,0.146,0.685,0.169,0.693,Europe,Hungary
105,0.014,0.29600000000000004,5.0,5731.0,14042801904.0,0.092,14042801904.0,140.0,0.002,0.9,0.077,84.0,81.0,1.1,0.208,0.669,0.123,0.937,Europe,Iceland
106,0.016,0.254,13.0,13216.0,226035376257.0,0.088,226035376257.0,76.0,0.003,0.7,0.084,83.0,79.0,1.1,0.215,0.67,0.115,0.621,Europe,Ireland
107,0.011,0.3955,12.5,24024.0,163421733019.0,0.08299999999999999,163421733019.0,208.5,0.004,0.7,0.084,82.0,77.0,1.2,0.153,0.677,0.158,0.52,Europe,Isle of Man
108,0.009,0.677,6.0,167416.0,2196336800620.0,0.092,2196336800620.0,285.0,0.003,0.5,0.046,85.0,80.0,1.6,0.14,0.654,0.205,0.684,Europe,Italy
109,0.018,0.154,58.0,2528.0,6630214452.0,0.08299999999999999,6630214452.0,164.0,0.004,0.7,0.139,72.0,68.0,1.2,0.153,0.677,0.158,0.693,Europe,Kosovo
110,0.009,0.371,16.0,4371.0,28480338368.0,0.06,28480338368.0,290.0,0.008,0.7,0.064,79.0,69.0,1.1,0.143,0.672,0.185,0.676,Europe,Latvia
111,0.011,0.3955,12.5,24024.0,163421733019.0,0.08299999999999999,163421733019.0,208.5,0.004,0.9,0.084,84.0,80.0,1.0,0.153,0.677,0.158,0.144,Europe,Liechtenstein
112,0.011,0.431,22.0,7287.0,43083067994.0,0.067,43083067994.0,175.0,0.005,0.6,0.084,79.0,68.0,1.6,0.151,0.693,0.155,0.667,Europe,Lithuania
113,0.011,0.198,19.0,4171.0,58009863403.0,0.067,58009863403.0,59.0,0.002,0.9,0.084,84.0,79.0,1.5,0.175,0.685,0.14,0.889,Europe,Luxembourg
114,0.011,0.084,3.0,3122.0,10395222334.0,0.069,10395222334.0,119.0,0.008,0.6,0.089,77.0,73.0,1.1,0.171,0.71,0.118,0.57,Europe,"Macedonia, FYR"
115,0.01,0.41,40.0,857.0,9302057270.0,0.087,9302057270.0,139.0,0.005,0.7,0.047,83.0,79.0,1.2,0.153,0.697,0.15,0.948,Europe,Malta
116,0.012,0.308,9.0,3331.0,7016162818.0,0.114,7016162818.0,228.0,0.014,0.4,0.144,73.0,65.0,0.9,0.165,0.723,0.112,0.449,Europe,Moldova
117,0.011,0.3955,12.5,24024.0,6074506533.0,0.044,6074506533.0,208.5,0.003,0.8,0.084,82.0,77.0,0.9,0.153,0.677,0.158,1.0,Europe,Monaco
118,0.012,0.209,10.0,1179.0,4501753898.0,0.072,4501753898.0,372.0,0.006,0.4,0.097,77.0,72.0,1.9,0.193,0.682,0.126,0.633,Europe,Montenegro
119,0.011,0.396,8.0,77419.0,832755438977.0,0.119,832755438977.0,127.0,0.004,0.9,0.02,83.0,79.0,1.2,0.173,0.667,0.159,0.878,Europe,Netherlands
120,0.012,0.40700000000000003,7.0,28137.0,490806911071.0,0.099,490806911071.0,87.0,0.003,0.9,0.084,84.0,79.0,1.2,0.187,0.661,0.152,0.794,Europe,Norway
121,0.01,0.395,32.0,101313.0,515771297421.0,0.068,515771297421.0,296.0,0.005,0.6,0.084,81.0,73.0,1.3,0.149,0.713,0.137,0.608,Europe,Poland
122,0.009,0.42700000000000005,4.0,23084.0,237888302256.0,0.102,237888302256.0,275.0,0.003,0.6,0.084,84.0,77.0,1.2,0.15,0.667,0.182,0.612,Europe,Portugal
123,0.01,0.431,14.0,35830.0,182610666616.0,0.056,182610666616.0,222.0,0.012,0.4,0.121,78.0,71.0,1.1,0.15,0.701,0.149,0.54,Europe,Romania
124,0.013,0.469,29.0,730970.0,1904793021649.0,0.061,1904793021649.0,290.0,0.01,0.5,0.085,76.0,64.0,1.4,0.151,0.718,0.13,0.737,Europe,Russian Federation
125,0.01,0.3955,12.5,24024.0,163421733019.0,0.055,163421733019.0,208.5,0.003,0.5,0.059,86.0,80.0,1.1,0.153,0.677,0.158,0.941,Europe,San Marino
126,0.009,0.34,13.0,16185.0,43749934551.0,0.103,43749934551.0,279.0,0.006,0.4,0.172,77.0,72.0,1.3,0.167,0.695,0.138,0.553,Europe,Serbia
127,0.011,0.47600000000000003,18.0,17349.0,95877536836.0,0.079,95877536836.0,231.0,0.007,0.7,0.084,80.0,72.0,1.1,0.15,0.725,0.125,0.544,Europe,Slovak Republic
128,0.011,0.33899999999999997,6.0,7249.0,50250147802.0,0.089,50250147802.0,260.0,0.003,0.7,0.084,83.0,77.0,1.1,0.141,0.691,0.169,0.499,Europe,Slovenia
129,0.01,0.387,28.0,125570.0,1454534452554.0,0.093,1454534452554.0,187.0,0.004,0.7,0.084,86.0,80.0,1.1,0.151,0.677,0.173,0.787,Europe,Spain
130,0.012,0.52,16.0,49045.0,536000581090.0,0.095,536000581090.0,122.0,0.002,0.9,0.084,84.0,80.0,1.2,0.166,0.649,0.185,0.852,Europe,Sweden
131,0.01,0.289,18.0,25375.0,658867317929.0,0.11,658867317929.0,63.0,0.004,0.9,0.027,85.0,81.0,1.3,0.149,0.679,0.172,0.737,Europe,Switzerland
