,Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
164,0.017,1.077,25.0,80112.0,557727273773.0,0.079,557727273773.0,415.0,0.013,0.5,0.141,80.0,72.0,1.5,0.246,0.646,0.107,0.911,The Americas,Argentina
165,0.011,0.41200000000000003,19.0,10675.0,2584463687.0,0.068,2584463687.0,245.0,0.014,0.7,0.097,78.0,73.0,1.0,0.204,0.689,0.107,0.427,The Americas,Aruba
166,0.015,0.466,24.0,10675.0,7872584000.0,0.075,7872584000.0,58.0,0.011,0.7,0.051,78.0,72.0,0.8,0.22,0.708,0.072,0.826,The Americas,"Bahamas, The"
167,0.013,0.41100000000000003,18.0,10675.0,4368900000.0,0.072,4368900000.0,245.0,0.014,0.7,0.087,77.0,73.0,1.2,0.191,0.704,0.105,0.319,The Americas,Barbados
168,0.024,0.332,44.0,10675.0,1489000000.0,0.058,1489000000.0,147.0,0.015,0.2,0.134,77.0,71.0,0.7,0.349,0.612,0.039,0.447,The Americas,Belize
169,0.012,0.41200000000000003,19.0,10675.0,5550771000.0,0.068,5550771000.0,245.0,0.014,0.9,0.109,82.0,77.0,1.0,0.272,0.651,0.07,1.0,The Americas,Bermuda
170,0.026,0.8,49.0,7704.0,23948541156.0,0.05,23948541156.0,1080.0,0.033,0.3,0.109,69.0,65.0,0.8,0.356,0.596,0.048,0.669,The Americas,Bolivia
171,0.015,0.6629999999999999,119.0,270028.0,2476694763271.0,0.089,2476694763271.0,2600.0,0.014,0.5,0.439,77.0,70.0,1.2,0.25,0.679,0.071,0.846,The Americas,Brazil
172,0.011,0.261,5.0,251845.0,1778632046933.0,0.109,1778632046933.0,131.0,0.005,0.8,0.03,83.0,79.0,0.8,0.164,0.691,0.145,0.811,The Americas,Canada
173,0.015,0.41200000000000003,19.0,10675.0,23812444721.5,0.068,23812444721.5,245.0,0.014,0.7,0.109,77.0,72.0,1.7,0.272,0.651,0.07,1.0,The Americas,Cayman Islands
174,0.014,0.245,8.0,33574.0,251162316598.0,0.071,251162316598.0,316.0,0.007,0.5,0.09,82.0,76.0,1.3,0.217,0.688,0.094,0.888,The Americas,Chile
175,0.019,0.764,14.0,31613.0,335415156702.0,0.065,335415156702.0,193.0,0.015,0.4,0.112,77.0,70.0,1.0,0.284,0.658,0.058,0.753,The Americas,Colombia
176,0.016,0.5529999999999999,60.0,4655.0,41237296807.0,0.102,41237296807.0,246.0,0.009,0.4,0.161,82.0,77.0,0.9,0.244,0.689,0.067,0.729,The Americas,Costa Rica
177,0.01,0.41200000000000003,19.0,11187.0,68233900000.0,0.106,68233900000.0,245.0,0.006,0.2,0.109,81.0,77.0,0.1,0.169,0.703,0.127,0.767,The Americas,Cuba
178,0.013,0.41200000000000003,19.0,10675.0,23812444721.5,0.068,23812444721.5,245.0,0.014,0.4,0.109,81.0,74.0,1.4,0.197,0.669,0.134,0.898,The Americas,Curacao
179,0.017,0.371,12.0,10675.0,491481481.0,0.06,491481481.0,117.0,0.011,0.5,0.088,77.0,72.0,1.5,0.272,0.651,0.07,0.684,The Americas,Dominica
180,0.022,0.41200000000000003,19.0,7382.0,55433248935.0,0.054,55433248935.0,324.0,0.025,0.4,0.156,76.0,70.0,0.9,0.308,0.631,0.061,0.749,The Americas,Dominican Republic
181,0.021,0.353,56.0,12942.0,76769729000.0,0.069,76769729000.0,654.0,0.02,0.3,0.109,79.0,73.0,1.0,0.306,0.631,0.063,0.629,The Americas,Ecuador
182,0.02,0.348,17.0,4319.0,23139000000.0,0.068,23139000000.0,320.0,0.015,0.2,0.109,77.0,67.0,1.3,0.313,0.617,0.07,0.648,The Americas,El Salvador
183,0.014,0.41200000000000003,19.0,10675.0,23812444721.5,0.068,23812444721.5,245.0,0.014,0.6,0.109,77.0,72.0,1.0,0.272,0.651,0.07,0.848,The Americas,Greenland
184,0.019,0.45299999999999996,15.0,10675.0,778518505.0,0.065,778518505.0,140.0,0.011,0.3,0.107,75.0,70.0,1.2,0.272,0.656,0.072,0.356,The Americas,Grenada
185,0.032,0.409,37.0,10163.0,47654789735.0,0.067,47654789735.0,344.0,0.028,0.1,0.134,75.0,68.0,1.3,0.412,0.544,0.045,0.498,The Americas,Guatemala
186,0.021,0.359,20.0,10675.0,2576602497.0,0.068,2576602497.0,263.0,0.032,0.3,0.145,69.0,63.0,0.7,0.373,0.595,0.033,0.283,The Americas,Guyana
187,0.026,0.40399999999999997,105.0,3211.0,7516834160.0,0.085,7516834160.0,184.0,0.057,0.1,0.116,64.0,61.0,0.4,0.358,0.598,0.045,0.535,The Americas,Haiti
188,0.026,0.436,14.0,4740.0,17710325578.0,0.084,17710325578.0,224.0,0.02,0.2,0.186,76.0,71.0,1.0,0.362,0.594,0.043,0.523,The Americas,Honduras
189,0.015,0.44299999999999995,7.0,3066.0,14433926129.0,0.052,14433926129.0,414.0,0.015,0.4,0.195,76.0,71.0,1.1,0.284,0.637,0.079,0.539,The Americas,Jamaica
190,0.019,0.527,6.0,186171.0,1170085556896.0,0.06,1170085556896.0,347.0,0.014,0.4,0.049,79.0,75.0,0.8,0.295,0.643,0.061,0.781,The Americas,Mexico
191,0.024,0.669,39.0,3038.0,9898547558.0,0.076,9898547558.0,207.0,0.021,0.1,0.105,77.0,71.0,0.8,0.339,0.615,0.046,0.575,The Americas,Nicaragua
